年月日,曜,1,2,3,4,5,6,7,8,9,10,11,12
 2019-12-08 ,日,,,,,,,,,,,,
 2019-12-09 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-12-10 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-12-11 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-12-12 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-12-13 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-12-14 ,土,,,,,,,,,,,,
 2019-12-15 ,日,,,,,,,,,,,,
 2019-12-16 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-12-17 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-12-18 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-12-19 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-12-20 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-12-21 ,土,,,,,,,,,,,,
 2019-12-22 ,日,,,,,,,,,,,,
 2019-12-23 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-12-24 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-12-25 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-12-26 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-12-27 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-12-28 ,土,,,,,,,,,,,,
 2019-12-29 ,日,,,,,,,,,,,,
 2019-12-30 ,月,,,,,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-12-31 ,火,,,,,,,,,,,,
 2020-01-01 ,水,,,,,,,,,,,,
 2020-01-02 ,木,,,,,,,,,,,,
 2020-01-03 ,金,,,,,,,,,,,,
 2020-01-04 ,土,可燃,可燃,可燃,可燃,,,,リプラ,可燃,リプラ,可燃,
 2020-01-05 ,日,,,,,,,,,,,,
 2020-01-06 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,資源,可燃,リプラ,可燃
 2020-01-07 ,火,可燃,可燃,可燃,可燃,他プラ,リプラ,資源,他プラ,可燃,資源,可燃,リプラ
 2020-01-08 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,不燃,他プラ,資源
 2020-01-09 ,木,不燃,不燃,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2020-01-10 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,不燃
 2020-01-11 ,土,,,,,,,,,,,,
 2020-01-12 ,日,,,,,,,,,,,,
 2020-01-13 ,月,他プラ,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2020-01-14 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,不燃,資源,可燃,他プラ,可燃,リプラ
 2020-01-15 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
