年月日,曜,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019/7/25,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2019/7/26,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2019/7/27,土,,,,,,,,,,,,,,,,,,,,,,,
2019/7/28,日,,,,,,,,,,,,,,,,,,,,,,,
2019/7/29,月,可燃,可燃,可燃,,,,,,,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,,
2019/7/30,火,,,,可燃,可燃,可燃,可燃,可燃,可燃,,,,,,,リプラ,,,,,可燃,可燃,可燃
2019/7/31,水,,,,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,,リプラ,リプラ,
2019/8/1,木,可燃,可燃,可燃,資源,他プラ,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2019/8/2,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,他プラ,リプラ,リプラ,他プラ,他プラ,,リプラ,リプラ,可燃,可燃,可燃
2019/8/3,土,,,,,,,,,,,,,,,,,,,,,,,
2019/8/4,日,,,,,,,,,,,,,,,,,,,,,,,
2019/8/5,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2019/8/6,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2019/8/7,水,資源,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,他プラ,リプラ,リプラ,
2019/8/8,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2019/8/9,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2019/8/10,土,,,,,,,,,,,,,,,,,,,,,,,
2019/8/11,日,,,,,,,,,,,,,,,,,,,,,,,
2019/8/12,月,可燃,可燃,可燃,,不燃,他プラ,資源,他プラ,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,資源,資源
2019/8/13,火,不燃,資源,不燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,他プラ,,,他プラ,資源,リプラ,不燃,資源,資源,不燃,可燃,可燃,可燃
2019/8/14,水,他プラ,不燃,資源,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,不燃,不燃,不燃,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2019/8/15,木,可燃,可燃,可燃,資源,他プラ,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2019/8/16,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,他プラ,リプラ,リプラ,他プラ,他プラ,,リプラ,リプラ,可燃,可燃,可燃
2019/8/17,土,,,,,,,,,,,,,,,,,,,,,,,
2019/8/18,日,,,,,,,,,,,,,,,,,,,,,,,
2019/8/19,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2019/8/20,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2019/8/21,水,資源,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,他プラ,リプラ,リプラ,
2019/8/22,木,可燃,可燃,可燃,他プラ,資源,,不燃,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,資源,不燃,リプラ
2019/8/23,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,資源,リプラ,リプラ,資源,資源,不燃,リプラ,リプラ,可燃,可燃,可燃
2019/8/24,土,,,,,,,,,,,,,,,,,,,,,,,
2019/8/25,日,,,,,,,,,,,,,,,,,,,,,,,
2019/8/26,月,可燃,可燃,可燃,,不燃,他プラ,資源,他プラ,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,資源,資源
2019/8/27,火,不燃,資源,不燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,他プラ,,,他プラ,資源,リプラ,不燃,資源,資源,不燃,可燃,可燃,可燃
2019/8/28,水,他プラ,不燃,資源,リプラ,リプラ,リプラ,リプラ,,,リプラ,リプラ,リプラ,リプラ,不燃,不燃,不燃,リプラ,リプラ,不燃,資源,リプラ,リプラ,不燃
2019/8/29,木,可燃,可燃,可燃,,,,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,,リプラ
2019/8/30,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,,,,,リプラ,リプラ,,,,リプラ,リプラ,可燃,可燃,可燃
2019/8/31,土,,,,,,,,,,,,,,,,,,,,,,,
2019/9/1,日,,,,,,,,,,,,,,,,,,,,,,,
2019/9/2,月,可燃,可燃,可燃,不燃,,資源,他プラ,資源,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,他プラ,他プラ
2019/9/3,火,,他プラ,,可燃,可燃,可燃,可燃,可燃,可燃,資源,資源,不燃,不燃,資源,他プラ,リプラ,,他プラ,他プラ,,可燃,可燃,可燃
2019/9/4,水,資源,,他プラ,リプラ,リプラ,リプラ,リプラ,不燃,不燃,リプラ,リプラ,リプラ,リプラ,,,,リプラ,リプラ,,他プラ,リプラ,リプラ,
2019/9/5,木,可燃,可燃,可燃,資源,他プラ,不燃,,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,他プラ,,リプラ
2019/9/6,金,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,他プラ,リプラ,リプラ,他プラ,他プラ,,リプラ,リプラ,可燃,可燃,可燃
